     n         h                l                k               nl               nk
    99  -0.29599272E+01   0.90145695E-02  -0.14460604E-01   0.89244238E+00  -0.14315998E+01
   100  -0.29652476E+01   0.89310967E-02  -0.14316967E-01   0.89310967E+00  -0.14316967E+01
   101  -0.29705453E+01   0.88489681E-02  -0.14176111E-01   0.89374578E+00  -0.14317872E+01
   102  -0.29758213E+01   0.87681548E-02  -0.14037965E-01   0.89435179E+00  -0.14318724E+01
   103  -0.29810767E+01   0.86886292E-02  -0.13902458E-01   0.89492881E+00  -0.14319532E+01
   104  -0.29863125E+01   0.86103640E-02  -0.13769523E-01   0.89547786E+00  -0.14320304E+01
   105  -0.29915299E+01   0.85333328E-02  -0.13639094E-01   0.89599994E+00  -0.14321049E+01
   106  -0.29967298E+01   0.84575097E-02  -0.13511108E-01   0.89649603E+00  -0.14321774E+01
   107  -0.30019129E+01   0.83828699E-02  -0.13385503E-01   0.89696708E+00  -0.14322488E+01
   108  -0.30070803E+01   0.83093886E-02  -0.13262220E-01   0.89741397E+00  -0.14323198E+01
   109  -0.30122328E+01   0.82370423E-02  -0.13141201E-01   0.89783761E+00  -0.14323909E+01
   110  -0.30173710E+01   0.81658076E-02  -0.13022390E-01   0.89823884E+00  -0.14324629E+01
   111  -0.30224958E+01   0.80956619E-02  -0.12905734E-01   0.89861847E+00  -0.14325365E+01
   112  -0.30276079E+01   0.80265832E-02  -0.12791179E-01   0.89897732E+00  -0.14326120E+01
   113  -0.30327080E+01   0.79585500E-02  -0.12678675E-01   0.89931615E+00  -0.14326903E+01
   114  -0.30377966E+01   0.78915413E-02  -0.12568172E-01   0.89963571E+00  -0.14327716E+01
   115  -0.30428744E+01   0.78255367E-02  -0.12459622E-01   0.89993672E+00  -0.14328565E+01
   116  -0.30479420E+01   0.77605163E-02  -0.12352979E-01   0.90021989E+00  -0.14329456E+01
   117  -0.30529999E+01   0.76964606E-02  -0.12248198E-01   0.90048589E+00  -0.14330392E+01
   118  -0.30580486E+01   0.76333507E-02  -0.12145235E-01   0.90073538E+00  -0.14331377E+01
   119  -0.30630887E+01   0.75711680E-02  -0.12044048E-01   0.90096899E+00  -0.14332417E+01
   120  -0.30681205E+01   0.75098946E-02  -0.11944594E-01   0.90118735E+00  -0.14333513E+01
   121  -0.30731446E+01   0.74495128E-02  -0.11846835E-01   0.90139105E+00  -0.14334670E+01
   122  -0.30781614E+01   0.73900054E-02  -0.11750732E-01   0.90158066E+00  -0.14335893E+01
   123  -0.30831713E+01   0.73313557E-02  -0.11656245E-01   0.90175675E+00  -0.14337181E+01
   124  -0.30881747E+01   0.72735474E-02  -0.11563340E-01   0.90191988E+00  -0.14338542E+01
   125  -0.30931718E+01   0.72165644E-02  -0.11471980E-01   0.90207055E+00  -0.14339975E+01
   126  -0.30981632E+01   0.71603911E-02  -0.11382130E-01   0.90220928E+00  -0.14341484E+01
   127  -0.31031490E+01   0.71050124E-02  -0.11293757E-01   0.90233657E+00  -0.14343071E+01
   128  -0.31081296E+01   0.70504134E-02  -0.11206828E-01   0.90245292E+00  -0.14344740E+01
   129  -0.31131054E+01   0.69965795E-02  -0.11121311E-01   0.90255876E+00  -0.14346491E+01
   130  -0.31180765E+01   0.69434967E-02  -0.11037175E-01   0.90265457E+00  -0.14348327E+01
   131  -0.31230433E+01   0.68911509E-02  -0.10954391E-01   0.90274077E+00  -0.14350252E+01
   132  -0.31280059E+01   0.68395288E-02  -0.10872928E-01   0.90281780E+00  -0.14352265E+01
   133  -0.31329647E+01   0.67886171E-02  -0.10792758E-01   0.90288607E+00  -0.14354368E+01
   134  -0.31379199E+01   0.67384029E-02  -0.10713853E-01   0.90294599E+00  -0.14356563E+01
   135  -0.31428716E+01   0.66888735E-02  -0.10636187E-01   0.90299792E+00  -0.14358852E+01
   136  -0.31478201E+01   0.66400168E-02  -0.10559733E-01   0.90304228E+00  -0.14361237E+01
   137  -0.31527656E+01   0.65918206E-02  -0.10484466E-01   0.90307942E+00  -0.14363718E+01
   138  -0.31577082E+01   0.65442732E-02  -0.10410360E-01   0.90310970E+00  -0.14366297E+01
   139  -0.31626481E+01   0.64973631E-02  -0.10337392E-01   0.90313347E+00  -0.14368975E+01
   140  -0.31675855E+01   0.64510790E-02  -0.10265537E-01   0.90315106E+00  -0.14371752E+01
   141  -0.31725205E+01   0.64054099E-02  -0.10194773E-01   0.90316280E+00  -0.14374630E+01
   142  -0.31774533E+01   0.63603452E-02  -0.10125078E-01   0.90316902E+00  -0.14377611E+01
   143  -0.31823840E+01   0.63158742E-02  -0.10056429E-01   0.90317001E+00  -0.14380693E+01
   144  -0.31873127E+01   0.62719868E-02  -0.99888045E-02   0.90316610E+00  -0.14383878E+01
   145  -0.31922396E+01   0.62286729E-02  -0.99221850E-02   0.90315757E+00  -0.14387168E+01
   146  -0.31971648E+01   0.61859227E-02  -0.98565496E-02   0.90314471E+00  -0.14390562E+01
   147  -0.32020883E+01   0.61437265E-02  -0.97918788E-02   0.90312780E+00  -0.14394062E+01
   148  -0.32070102E+01   0.61020749E-02  -0.97281532E-02   0.90310709E+00  -0.14397667E+01
   149  -0.32119308E+01   0.60609589E-02  -0.96653542E-02   0.90308288E+00  -0.14401378E+01
   150  -0.32168500E+01   0.60203693E-02  -0.96034635E-02   0.90305539E+00  -0.14405195E+01
   151  -0.32217679E+01   0.59802974E-02  -0.95424633E-02   0.90302491E+00  -0.14409120E+01
   152  -0.32266847E+01   0.59407346E-02  -0.94823362E-02   0.90299166E+00  -0.14413151E+01
   153  -0.32316003E+01   0.59016724E-02  -0.94230652E-02   0.90295588E+00  -0.14417290E+01
   154  -0.32365149E+01   0.58631026E-02  -0.93646338E-02   0.90291780E+00  -0.14421536E+01
   155  -0.32414284E+01   0.58250172E-02  -0.93070259E-02   0.90287767E+00  -0.14425890E+01
   156  -0.32463411E+01   0.57874081E-02  -0.92502257E-02   0.90283566E+00  -0.14430352E+01
   157  -0.32512529E+01   0.57502678E-02  -0.91942178E-02   0.90279204E+00  -0.14434922E+01
   158  -0.32561639E+01   0.57135886E-02  -0.91389873E-02   0.90274700E+00  -0.14439600E+01
   159  -0.32610741E+01   0.56773630E-02  -0.90845194E-02   0.90270072E+00  -0.14444386E+01
   160  -0.32659835E+01   0.56415839E-02  -0.90308000E-02   0.90265342E+00  -0.14449280E+01
   161  -0.32708923E+01   0.56062442E-02  -0.89778149E-02   0.90260532E+00  -0.14454282E+01
   162  -0.32758004E+01   0.55713368E-02  -0.89255506E-02   0.90255656E+00  -0.14459392E+01
   163  -0.32807079E+01   0.55368550E-02  -0.88739938E-02   0.90250737E+00  -0.14464610E+01
   164  -0.32856148E+01   0.55027920E-02  -0.88231314E-02   0.90245789E+00  -0.14469935E+01
   165  -0.32905211E+01   0.54691413E-02  -0.87729507E-02   0.90240831E+00  -0.14475369E+01
   166  -0.32954269E+01   0.54358966E-02  -0.87234394E-02   0.90235884E+00  -0.14480909E+01
   167  -0.33003322E+01   0.54030515E-02  -0.86745852E-02   0.90230960E+00  -0.14486557E+01
   168  -0.33052370E+01   0.53705998E-02  -0.86263763E-02   0.90226077E+00  -0.14492312E+01
   169  -0.33101414E+01   0.53385356E-02  -0.85788012E-02   0.90221252E+00  -0.14498174E+01
   170  -0.33150452E+01   0.53068529E-02  -0.85318484E-02   0.90216499E+00  -0.14504142E+01
   171  -0.33199486E+01   0.52755459E-02  -0.84855070E-02   0.90211835E+00  -0.14510217E+01
   172  -0.33248516E+01   0.52446089E-02  -0.84397661E-02   0.90207273E+00  -0.14516398E+01
   173  -0.33297541E+01   0.52140364E-02  -0.83946150E-02   0.90202830E+00  -0.14522684E+01
   174  -0.33346563E+01   0.51838229E-02  -0.83500435E-02   0.90198518E+00  -0.14529076E+01
   175  -0.33395580E+01   0.51539630E-02  -0.83060415E-02   0.90194352E+00  -0.14535573E+01
   176  -0.33444593E+01   0.51244515E-02  -0.82625990E-02   0.90190346E+00  -0.14542174E+01
   177  -0.33493602E+01   0.50952833E-02  -0.82197063E-02   0.90186514E+00  -0.14548880E+01
   178  -0.33542607E+01   0.50664532E-02  -0.81773539E-02   0.90182867E+00  -0.14555690E+01
   179  -0.33591609E+01   0.50379563E-02  -0.81355327E-02   0.90179418E+00  -0.14562604E+01
   180  -0.33640606E+01   0.50097879E-02  -0.80942335E-02   0.90176182E+00  -0.14569620E+01
   181  -0.33689599E+01   0.49819430E-02  -0.80534474E-02   0.90173168E+00  -0.14576740E+01
   182  -0.33738588E+01   0.49544170E-02  -0.80131658E-02   0.90170389E+00  -0.14583962E+01
   183  -0.33787572E+01   0.49272053E-02  -0.79733801E-02   0.90167857E+00  -0.14591286E+01
   184  -0.33836553E+01   0.49003034E-02  -0.79340821E-02   0.90165583E+00  -0.14598711E+01
   185  -0.33885529E+01   0.48737069E-02  -0.78952635E-02   0.90163578E+00  -0.14606237E+01
   186  -0.33934501E+01   0.48474114E-02  -0.78569164E-02   0.90161852E+00  -0.14613865E+01
   187  -0.33983469E+01   0.48214127E-02  -0.78190330E-02   0.90160417E+00  -0.14621592E+01
   188  -0.34032432E+01   0.47957066E-02  -0.77816057E-02   0.90159284E+00  -0.14629419E+01
   189  -0.34081390E+01   0.47702889E-02  -0.77446269E-02   0.90158460E+00  -0.14637345E+01
   190  -0.34130344E+01   0.47451557E-02  -0.77080893E-02   0.90157958E+00  -0.14645370E+01
   191  -0.34179292E+01   0.47203030E-02  -0.76719857E-02   0.90157787E+00  -0.14653493E+01
   192  -0.34228236E+01   0.46957268E-02  -0.76363091E-02   0.90157955E+00  -0.14661713E+01
   193  -0.34277174E+01   0.46714235E-02  -0.76010526E-02   0.90158474E+00  -0.14670032E+01
   194  -0.34326107E+01   0.46473891E-02  -0.75662095E-02   0.90159349E+00  -0.14678446E+01
   195  -0.34375035E+01   0.46236200E-02  -0.75317730E-02   0.90160590E+00  -0.14686957E+01
   196  -0.34423957E+01   0.46001126E-02  -0.74977367E-02   0.90162207E+00  -0.14695564E+01
   197  -0.34472873E+01   0.45768634E-02  -0.74640943E-02   0.90164209E+00  -0.14704266E+01
   198  -0.34521783E+01   0.45538688E-02  -0.74308395E-02   0.90166602E+00  -0.14713062E+01
   199  -0.34570687E+01   0.45311254E-02  -0.73979662E-02   0.90169395E+00  -0.14721953E+01
   200  -0.34619585E+01   0.45086298E-02  -0.73654685E-02   0.90172596E+00  -0.14730937E+01
   201  -0.34668476E+01   0.44863788E-02  -0.73333403E-02   0.90176214E+00  -0.14740014E+01
   202  -0.34717360E+01   0.44643689E-02  -0.73015761E-02   0.90180252E+00  -0.14749184E+01
   203  -0.34766237E+01   0.44425971E-02  -0.72701701E-02   0.90184721E+00  -0.14758445E+01
   204  -0.34815107E+01   0.44210601E-02  -0.72391168E-02   0.90189626E+00  -0.14767798E+01
