     n         h                l                k               nl               nk
   146  -0.29272072E+01   0.61248185E-02  -0.10230063E-01   0.89422350E+00  -0.14935892E+01
   147  -0.29303464E+01   0.60852291E-02  -0.10162122E-01   0.89452868E+00  -0.14938319E+01
   148  -0.29334842E+01   0.60461416E-02  -0.10095131E-01   0.89482896E+00  -0.14940794E+01
   149  -0.29366206E+01   0.60075471E-02  -0.10029071E-01   0.89512452E+00  -0.14943316E+01
   150  -0.29397559E+01   0.59694369E-02  -0.99639244E-02   0.89541553E+00  -0.14945887E+01
   151  -0.29428900E+01   0.59318025E-02  -0.98996732E-02   0.89570218E+00  -0.14948507E+01
   152  -0.29460230E+01   0.58946356E-02  -0.98363004E-02   0.89598461E+00  -0.14951177E+01
   153  -0.29491551E+01   0.58579281E-02  -0.97737889E-02   0.89626300E+00  -0.14953897E+01
   154  -0.29522863E+01   0.58216720E-02  -0.97121226E-02   0.89653749E+00  -0.14956669E+01
   155  -0.29554167E+01   0.57858596E-02  -0.96512854E-02   0.89680824E+00  -0.14959492E+01
   156  -0.29585463E+01   0.57504832E-02  -0.95912616E-02   0.89707538E+00  -0.14962368E+01
   157  -0.29616753E+01   0.57155356E-02  -0.95320361E-02   0.89733909E+00  -0.14965297E+01
   158  -0.29648036E+01   0.56810093E-02  -0.94735939E-02   0.89759947E+00  -0.14968278E+01
   159  -0.29679313E+01   0.56468973E-02  -0.94159206E-02   0.89785667E+00  -0.14971314E+01
   160  -0.29710585E+01   0.56131927E-02  -0.93590019E-02   0.89811083E+00  -0.14974403E+01
   161  -0.29741852E+01   0.55798887E-02  -0.93028241E-02   0.89836208E+00  -0.14977547E+01
   162  -0.29773115E+01   0.55469786E-02  -0.92473736E-02   0.89861053E+00  -0.14980745E+01
   163  -0.29804374E+01   0.55144558E-02  -0.91926371E-02   0.89885630E+00  -0.14983998E+01
   164  -0.29835629E+01   0.54823141E-02  -0.91386019E-02   0.89909951E+00  -0.14987307E+01
   165  -0.29866882E+01   0.54505473E-02  -0.90852553E-02   0.89934030E+00  -0.14990671E+01
   166  -0.29898131E+01   0.54191491E-02  -0.90325849E-02   0.89957875E+00  -0.14994091E+01
   167  -0.29929379E+01   0.53881137E-02  -0.89805788E-02   0.89981499E+00  -0.14997567E+01
   168  -0.29960624E+01   0.53574351E-02  -0.89292252E-02   0.90004910E+00  -0.15001098E+01
   169  -0.29991867E+01   0.53271078E-02  -0.88785126E-02   0.90028122E+00  -0.15004686E+01
   170  -0.30023109E+01   0.52971260E-02  -0.88284298E-02   0.90051142E+00  -0.15008331E+01
   171  -0.30054349E+01   0.52674843E-02  -0.87789657E-02   0.90073982E+00  -0.15012031E+01
   172  -0.30085588E+01   0.52381774E-02  -0.87301097E-02   0.90096651E+00  -0.15015789E+01
   173  -0.30116827E+01   0.52091999E-02  -0.86818513E-02   0.90119158E+00  -0.15019603E+01
   174  -0.30148064E+01   0.51805467E-02  -0.86341801E-02   0.90141513E+00  -0.15023473E+01
   175  -0.30179302E+01   0.51522128E-02  -0.85870862E-02   0.90163724E+00  -0.15027401E+01
   176  -0.30210538E+01   0.51241932E-02  -0.85405596E-02   0.90185800E+00  -0.15031385E+01
   177  -0.30241775E+01   0.50964831E-02  -0.84945910E-02   0.90207751E+00  -0.15035426E+01
   178  -0.30273012E+01   0.50690778E-02  -0.84491707E-02   0.90229585E+00  -0.15039524E+01
   179  -0.30304249E+01   0.50419725E-02  -0.84042896E-02   0.90251308E+00  -0.15043678E+01
   180  -0.30335485E+01   0.50151628E-02  -0.83599388E-02   0.90272930E+00  -0.15047890E+01
   181  -0.30366723E+01   0.49886442E-02  -0.83161094E-02   0.90294460E+00  -0.15052158E+01
   182  -0.30397960E+01   0.49624122E-02  -0.82727927E-02   0.90315902E+00  -0.15056483E+01
   183  -0.30429198E+01   0.49364627E-02  -0.82299805E-02   0.90337267E+00  -0.15060864E+01
   184  -0.30460437E+01   0.49107914E-02  -0.81876643E-02   0.90358562E+00  -0.15065302E+01
   185  -0.30491676E+01   0.48853942E-02  -0.81458361E-02   0.90379793E+00  -0.15069797E+01
   186  -0.30522916E+01   0.48602670E-02  -0.81044881E-02   0.90400966E+00  -0.15074348E+01
   187  -0.30554157E+01   0.48354059E-02  -0.80636124E-02   0.90422090E+00  -0.15078955E+01
   188  -0.30585398E+01   0.48108070E-02  -0.80232014E-02   0.90443172E+00  -0.15083619E+01
   189  -0.30616640E+01   0.47864665E-02  -0.79832478E-02   0.90464217E+00  -0.15088338E+01
   190  -0.30647883E+01   0.47623806E-02  -0.79437442E-02   0.90485231E+00  -0.15093114E+01
   191  -0.30679127E+01   0.47385457E-02  -0.79046835E-02   0.90506223E+00  -0.15097945E+01
   192  -0.30710371E+01   0.47149583E-02  -0.78660588E-02   0.90527199E+00  -0.15102833E+01
   193  -0.30741617E+01   0.46916146E-02  -0.78278631E-02   0.90548162E+00  -0.15107776E+01
   194  -0.30772863E+01   0.46685114E-02  -0.77900897E-02   0.90569121E+00  -0.15112774E+01
   195  -0.30804110E+01   0.46456452E-02  -0.77527322E-02   0.90590081E+00  -0.15117828E+01
