# LOVE_NUMBERS  Format of 2005.01.10
# degree h                 l                 k
#
     0  0.0000000000D+00  0.0000000000D+00  0.0000000000D+00
   281 -0.3855294157D+01  0.3297038508D-02 -0.6021826113D-02
   282 -0.3860042438D+01  0.3287132563D-02 -0.6007406839D-02
   283 -0.3864787807D+01  0.3277318267D-02 -0.5993105878D-02
   284 -0.3869530239D+01  0.3267594628D-02 -0.5978921847D-02
   285 -0.3874269702D+01  0.3257960660D-02 -0.5964853301D-02
   286 -0.3879006179D+01  0.3248415396D-02 -0.5950898825D-02
   287 -0.3883739635D+01  0.3238957864D-02 -0.5937057006D-02
   288 -0.3888470049D+01  0.3229587109D-02 -0.5923326579D-02
   289 -0.3893197379D+01  0.3220302211D-02 -0.5909706151D-02
   290 -0.3897921616D+01  0.3211102237D-02 -0.5896194416D-02
   291 -0.3902642720D+01  0.3201986266D-02 -0.5882789995D-02
   292 -0.3907360668D+01  0.3192953396D-02 -0.5869491718D-02
   293 -0.3912075438D+01  0.3184002722D-02 -0.5856298304D-02
   294 -0.3916786993D+01  0.3175133373D-02 -0.5843208448D-02
   295 -0.3921495314D+01  0.3166344474D-02 -0.5830220904D-02
   296 -0.3926200363D+01  0.3157635149D-02 -0.5817334546D-02
   297 -0.3930902125D+01  0.3149004554D-02 -0.5804548161D-02
   298 -0.3935600573D+01  0.3140451838D-02 -0.5791860577D-02
   299 -0.3940295676D+01  0.3131976215D-02 -0.5779270522D-02
   300 -0.3944987404D+01  0.3123576818D-02 -0.5766776986D-02
   301 -0.3949675741D+01  0.3115252838D-02 -0.5754378816D-02
   302 -0.3954360653D+01  0.3107003475D-02 -0.5742074899D-02
   303 -0.3959042119D+01  0.3098827965D-02 -0.5729864025D-02
   304 -0.3963720107D+01  0.3090725489D-02 -0.5717745257D-02
   305 -0.3968394592D+01  0.3082695280D-02 -0.5705717481D-02
   306 -0.3973065547D+01  0.3074736571D-02 -0.5693779662D-02
   307 -0.3977732958D+01  0.3066848621D-02 -0.5681930652D-02
   308 -0.3982396782D+01  0.3059030663D-02 -0.5670169557D-02
   309 -0.3987056997D+01  0.3051281965D-02 -0.5658495321D-02
   310 -0.3991713583D+01  0.3043601784D-02 -0.5646906981D-02
   311 -0.3996366510D+01  0.3035989428D-02 -0.5635403426D-02
   312 -0.4001015766D+01  0.3028444140D-02 -0.5623983856D-02
   313 -0.4005661299D+01  0.3020965248D-02 -0.5612647214D-02
   314 -0.4010303104D+01  0.3013552026D-02 -0.5601392619D-02
   315 -0.4014941156D+01  0.3006203809D-02 -0.5590219039D-02
   316 -0.4019575415D+01  0.2998919902D-02 -0.5579125640D-02
   317 -0.4024205867D+01  0.2991699624D-02 -0.5568111507D-02
   318 -0.4028832484D+01  0.2984542312D-02 -0.5557175755D-02
   319 -0.4033455241D+01  0.2977447321D-02 -0.5546317422D-02
   320 -0.4038074113D+01  0.2970413976D-02 -0.5535535712D-02
   321 -0.4042689078D+01  0.2963441640D-02 -0.5524829768D-02
   322 -0.4047300107D+01  0.2956529675D-02 -0.5514198739D-02
   323 -0.4051907177D+01  0.2949677460D-02 -0.5503641734D-02
   324 -0.4056510264D+01  0.2942884356D-02 -0.5493157962D-02
   325 -0.4061109341D+01  0.2936149755D-02 -0.5482746632D-02
   326 -0.4065704388D+01  0.2929473038D-02 -0.5472406939D-02
   327 -0.4070295381D+01  0.2922853615D-02 -0.5462138054D-02
   328 -0.4074882284D+01  0.2916290885D-02 -0.5451939170D-02
   329 -0.4079465087D+01  0.2909784249D-02 -0.5441809594D-02
   330 -0.4084043760D+01  0.2903333130D-02 -0.5431748532D-02
   331 -0.4088618279D+01  0.2896936957D-02 -0.5421755212D-02
   332 -0.4093188619D+01  0.2890595151D-02 -0.5411828857D-02
   333 -0.4097757745D+01  0.2884317398D-02 -0.5401975569D-02
   334 -0.4102319954D+01  0.2878083583D-02 -0.5392181719D-02
   335 -0.4106878131D+01  0.2871903238D-02 -0.5382453176D-02
   336 -0.4111431810D+01  0.2865774239D-02 -0.5372788210D-02
   337 -0.4115981211D+01  0.2859696893D-02 -0.5363186748D-02
   338 -0.4120526303D+01  0.2853670681D-02 -0.5353648059D-02
   339 -0.4125067085D+01  0.2847695064D-02 -0.5344171504D-02
   340 -0.4129603517D+01  0.2841769549D-02 -0.5334756310D-02
   341 -0.4134135580D+01  0.2835893595D-02 -0.5325401926D-02
   342 -0.4138663260D+01  0.2830066694D-02 -0.5316107680D-02
   343 -0.4143186527D+01  0.2824288349D-02 -0.5306872920D-02
   344 -0.4147705363D+01  0.2818558071D-02 -0.5297696936D-02
   345 -0.4152219750D+01  0.2812875349D-02 -0.5288579215D-02
   346 -0.4156729818D+01  0.2807240245D-02 -0.5279519432D-02
   347 -0.4161235270D+01  0.2801651316D-02 -0.5270516389D-02
   348 -0.4165736154D+01  0.2796108386D-02 -0.5261569543D-02
   349 -0.4170232508D+01  0.2790611088D-02 -0.5252678535D-02
   350 -0.4174724295D+01  0.2785158967D-02 -0.5243842709D-02
   351 -0.4179211503D+01  0.2779751557D-02 -0.5235061516D-02
   352 -0.4183694105D+01  0.2774388415D-02 -0.5226334273D-02
   353 -0.4188172090D+01  0.2769069071D-02 -0.5217660524D-02
   354 -0.4192645419D+01  0.2763793069D-02 -0.5209039665D-02
   355 -0.4197114075D+01  0.2758559969D-02 -0.5200471169D-02
   356 -0.4201578059D+01  0.2753369342D-02 -0.5191954431D-02
   357 -0.4206037324D+01  0.2748220754D-02 -0.5183488963D-02
   358 -0.4210491862D+01  0.2743113773D-02 -0.5175074221D-02
   359 -0.4214941658D+01  0.2738047972D-02 -0.5166709698D-02
   360 -0.4219386679D+01  0.2733022945D-02 -0.5158394787D-02
   361 -0.4223826915D+01  0.2728038259D-02 -0.5150129056D-02
   362 -0.4228262339D+01  0.2723093519D-02 -0.5141911977D-02
   363 -0.4232692981D+01  0.2718188433D-02 -0.5133743148D-02
   364 -0.4237118729D+01  0.2713322339D-02 -0.5125621837D-02
   365 -0.4241539614D+01  0.2708494961D-02 -0.5117547698D-02
