     n         h                l                k               nl               nk
   127  -0.31026897E+01   0.70323737E-02  -0.11704279E-01   0.89311146E+00  -0.14864434E+01
   128  -0.31077295E+01   0.69809390E-02  -0.11614291E-01   0.89356019E+00  -0.14866292E+01
   129  -0.31127645E+01   0.69302241E-02  -0.11525715E-01   0.89399891E+00  -0.14868172E+01
   130  -0.31177950E+01   0.68802153E-02  -0.11438521E-01   0.89442799E+00  -0.14870077E+01
   131  -0.31228212E+01   0.68308987E-02  -0.11352679E-01   0.89484773E+00  -0.14872009E+01
   132  -0.31278434E+01   0.67822611E-02  -0.11268160E-01   0.89525847E+00  -0.14873971E+01
   133  -0.31328618E+01   0.67342896E-02  -0.11184936E-01   0.89566052E+00  -0.14875965E+01
   134  -0.31378767E+01   0.66869714E-02  -0.11102978E-01   0.89605417E+00  -0.14877991E+01
   135  -0.31428883E+01   0.66402942E-02  -0.11022261E-01   0.89643972E+00  -0.14880052E+01
   136  -0.31478967E+01   0.65942459E-02  -0.10942758E-01   0.89681744E+00  -0.14882151E+01
   137  -0.31529022E+01   0.65488147E-02  -0.10864444E-01   0.89718761E+00  -0.14884288E+01
   138  -0.31579050E+01   0.65039892E-02  -0.10787294E-01   0.89755051E+00  -0.14886466E+01
   139  -0.31629051E+01   0.64597580E-02  -0.10711284E-01   0.89790636E+00  -0.14888685E+01
   140  -0.31679029E+01   0.64161102E-02  -0.10636390E-01   0.89825543E+00  -0.14890946E+01
   141  -0.31728983E+01   0.63730351E-02  -0.10562591E-01   0.89859795E+00  -0.14893253E+01
   142  -0.31778917E+01   0.63305221E-02  -0.10489862E-01   0.89893414E+00  -0.14895604E+01
   143  -0.31828831E+01   0.62885612E-02  -0.10418184E-01   0.89926425E+00  -0.14898003E+01
   144  -0.31878726E+01   0.62471422E-02  -0.10347535E-01   0.89958848E+00  -0.14900450E+01
   145  -0.31928603E+01   0.62062554E-02  -0.10277893E-01   0.89990703E+00  -0.14902945E+01
   146  -0.31978465E+01   0.61658913E-02  -0.10209240E-01   0.90022013E+00  -0.14905490E+01
   147  -0.32028311E+01   0.61260405E-02  -0.10141556E-01   0.90052795E+00  -0.14908087E+01
   148  -0.32078144E+01   0.60866940E-02  -0.10074821E-01   0.90083071E+00  -0.14910735E+01
   149  -0.32127963E+01   0.60478427E-02  -0.10009017E-01   0.90112856E+00  -0.14913435E+01
   150  -0.32177771E+01   0.60094781E-02  -0.99441255E-02   0.90142172E+00  -0.14916188E+01
   151  -0.32227567E+01   0.59715916E-02  -0.98801295E-02   0.90171033E+00  -0.14918996E+01
   152  -0.32277353E+01   0.59341749E-02  -0.98170113E-02   0.90199458E+00  -0.14921857E+01
   153  -0.32327129E+01   0.58972198E-02  -0.97547543E-02   0.90227463E+00  -0.14924774E+01
   154  -0.32376896E+01   0.58607185E-02  -0.96933420E-02   0.90255065E+00  -0.14927747E+01
   155  -0.32426655E+01   0.58246630E-02  -0.96327584E-02   0.90282277E+00  -0.14930776E+01
   156  -0.32476407E+01   0.57890459E-02  -0.95729878E-02   0.90309116E+00  -0.14933861E+01
   157  -0.32526151E+01   0.57538597E-02  -0.95140151E-02   0.90335597E+00  -0.14937004E+01
   158  -0.32575889E+01   0.57190970E-02  -0.94558253E-02   0.90361733E+00  -0.14940204E+01
   159  -0.32625622E+01   0.56847509E-02  -0.93984038E-02   0.90387539E+00  -0.14943462E+01
   160  -0.32675349E+01   0.56508143E-02  -0.93417366E-02   0.90413029E+00  -0.14946779E+01
   161  -0.32725071E+01   0.56172804E-02  -0.92858097E-02   0.90438214E+00  -0.14950154E+01
   162  -0.32774789E+01   0.55841426E-02  -0.92306096E-02   0.90463110E+00  -0.14953588E+01
   163  -0.32824503E+01   0.55513943E-02  -0.91761231E-02   0.90487727E+00  -0.14957081E+01
   164  -0.32874214E+01   0.55190292E-02  -0.91223372E-02   0.90512079E+00  -0.14960633E+01
   165  -0.32923921E+01   0.54870409E-02  -0.90692395E-02   0.90536175E+00  -0.14964245E+01
